community,new_listings_2015,new_listings_2016,new_listings_change,closed_sales_2015,closed_sales_2016,closed_sales_change,median_price_2015,median_price_2016,median_price_change,market_time_2015,market_time_2016,market_time_change,percent_of_list_price_received_2015,percent_of_list_price_received_2016,percent_of_list_price_received_change,inventory_for_sale_2015,inventory_for_sale_2016,inventory_for_sale_change,months_supply_2015,months_supply_2016,months_supply_change
Addison,663,632,- 4.7%,407,393,- 3.4%,198900,218000,+ 9.6%,91,94,+ 4.0%,93.4,94.8,+ 1.5%,113,103,- 8.8%,3.3,3.3,+ 1.1%
Aurora and Eola,3611,3449,- 4.5%,2439,2619,+ 7.4%,159900,171000,+ 6.9%,86,73,- 14.9%,94.7,95.8,+ 1.2%,642,384,- 40.2%,3.1,1.8,- 44.3%
Bartlett,1221,1129,- 7.5%,644,754,+ 17.1%,237750,250000,+ 5.2%,89,83,- 7.0%,94.1,95.4,+ 1.4%,181,143,- 21.0%,3.3,2.3,- 30.1%
Bensenville,346,293,- 15.3%,199,202,+ 1.5%,178000,189450,+ 6.4%,91,94,+ 2.7%,92.4,93.7,+ 1.5%,72,43,- 40.3%,4.3,2.6,- 40.6%
Bloomingdale,613,607,- 1.0%,392,378,- 3.6%,230000,245375,+ 6.7%,85,87,+ 2.0%,93.2,95.0,+ 1.9%,111,73,- 34.2%,3.4,2.3,- 31.8%
Bolingbrook,1823,1554,- 14.8%,1206,1168,- 3.2%,180000,199900,+ 11.1%,83,82,- 0.6%,94.7,96.3,+ 1.7%,310,181,- 41.6%,3.1,1.9,- 38.6%
Burr Ridge,510,502,- 1.6%,195,218,+ 11.8%,575000,533500,- 7.2%,163,173,+ 6.0%,90.8,91.1,+ 0.4%,168,128,- 23.8%,10.8,7.1,- 33.7%
Carol Stream,740,721,- 2.6%,517,547,+ 5.8%,199900,210000,+ 5.1%,80,70,- 12.0%,94.6,96.0,+ 1.4%,119,55,- 53.8%,2.7,1.2,- 56.6%
Clarendon Hills,349,363,+ 4.0%,151,186,+ 23.2%,480000,413900,- 13.8%,99,112,+ 13.2%,92.5,92.9,+ 0.5%,78,54,- 30.8%,6.0,3.5,- 41.9%
Darien,625,664,+ 6.2%,357,426,+ 19.3%,265000,279000,+ 5.3%,90,80,- 11.6%,93.2,94.5,+ 1.3%,102,84,- 17.6%,3.3,2.4,- 27.3%
Downers Grove,1744,1820,+ 4.4%,897,934,+ 4.1%,295000,292250,- 0.9%,91,103,+ 13.7%,92.9,94.0,+ 1.2%,329,261,- 20.7%,4.3,3.3,- 23.0%
Elk Grove Village,770,736,- 4.4%,500,536,+ 7.2%,218750,220000,+ 0.6%,88,72,- 17.9%,93.6,94.7,+ 1.1%,112,90,- 19.6%,2.6,2.0,- 22.5%
Elmhurst,1360,1258,- 7.5%,717,681,- 5.0%,375000,400000,+ 6.7%,99,100,+ 1.3%,94.5,94.6,+ 0.1%,232,186,- 19.8%,3.8,3.3,- 14.3%
Glen Ellyn,1306,1309,+ 0.2%,649,743,+ 14.5%,365000,366000,+ 0.3%,101,103,+ 2.4%,93.3,94.4,+ 1.2%,250,174,- 30.4%,4.5,2.8,- 36.3%
Glendale Heights,654,602,- 8.0%,454,454,0.0%,152700,164000,+ 7.4%,87,71,- 19.0%,93.4,94.7,+ 1.5%,124,70,- 43.5%,3.2,1.8,- 44.0%
Hanover Park,752,699,- 7.0%,536,530,- 1.1%,147450,170000,+ 15.3%,73,70,- 4.2%,94.9,95.5,+ 0.6%,114,81,- 28.9%,2.5,1.9,- 23.6%
Hinsdale,829,876,+ 5.7%,345,369,+ 7.0%,765000,850000,+ 11.1%,155,153,- 1.4%,93.4,92.1,- 1.4%,196,193,- 1.5%,6.7,6.2,- 6.6%
Itasca,241,278,+ 15.4%,128,151,+ 18.0%,243000,263000,+ 8.2%,110,74,- 32.3%,92.5,95.0,+ 2.7%,44,45,+ 2.3%,3.9,3.6,- 5.3%
Lisle,735,702,- 4.5%,457,438,- 4.2%,279900,261000,- 6.8%,82,79,- 4.1%,96.0,94.5,- 1.6%,111,95,- 14.4%,3.0,2.6,- 13.6%
Lombard,1295,1239,- 4.3%,808,857,+ 6.1%,215250,225843,+ 4.9%,89,69,- 21.8%,93.1,94.3,+ 1.3%,187,136,- 27.3%,2.7,1.9,- 27.5%
Naperville,4803,4889,+ 1.8%,2554,2786,+ 9.1%,349995,356945,+ 2.0%,91,92,+ 1.2%,94.5,95.0,+ 0.6%,804,667,- 17.0%,3.7,2.9,- 22.2%
Oak Brook,359,351,- 2.2%,157,153,- 2.5%,590000,555000,- 5.9%,160,154,- 4.0%,90.5,90.1,- 0.5%,119,127,+ 6.7%,8.9,10.1,+ 13.8%
Oak Brook Terrace,57,62,+ 8.8%,30,22,- 26.7%,285500,224000,- 21.5%,101,75,- 25.6%,94.5,93.9,- 0.7%,11,11,0.0%,3.9,4.0,+ 1.8%
Roselle and Keeneyville,547,609,+ 11.3%,358,387,+ 8.1%,211250,227000,+ 7.5%,72,71,- 1.5%,93.8,94.7,+ 1.0%,82,75,- 8.5%,2.6,2.3,- 11.1%
Schaumburg,1788,1819,+ 1.7%,1200,1246,+ 3.8%,174400,185700,+ 6.5%,69,64,- 6.3%,95.0,95.5,+ 0.6%,271,204,- 24.7%,2.7,2.0,- 27.8%
St. Charles,1778,1777,- 0.1%,982,992,+ 1.0%,283250,289450,+ 2.2%,117,114,- 3.2%,93.1,94.5,+ 1.5%,421,353,- 16.2%,5.1,4.3,- 16.7%
Villa Park,564,585,+ 3.7%,349,384,+ 10.0%,190000,197000,+ 3.7%,83,79,- 5.4%,94.1,93.7,- 0.4%,89,58,- 34.8%,3.0,1.8,- 40.2%
Warrenville,327,444,+ 35.8%,218,266,+ 22.0%,178000,196450,+ 10.4%,78,60,- 23.2%,94.4,95.9,+ 1.6%,49,55,+ 12.2%,2.6,2.4,- 9.9%
Wayne,108,137,+ 26.9%,31,34,+ 9.7%,460000,465000,+ 1.1%,321,208,- 35.3%,86.3,91.1,+ 5.6%,43,49,+ 14.0%,16.1,16.3,+ 1.3%
West Chicago,648,637,- 1.7%,362,403,+ 11.3%,185500,228000,+ 22.9%,115,110,- 4.3%,93.2,95.0,+ 1.9%,126,94,- 25.4%,4.0,3.0,- 26.0%
Westmont,478,502,+ 5.0%,293,315,+ 7.5%,233000,228500,- 1.9%,97,77,- 20.8%,93.1,94.0,+ 0.9%,75,71,- 5.3%,3.1,2.7,- 13.6%
Wheaton,1659,1557,- 6.1%,876,994,+ 13.5%,290000,302250,+ 4.2%,90,94,+ 5.1%,93.4,94.7,+ 1.4%,282,200,- 29.1%,3.8,2.4,- 36.0%
Willowbrook,451,437,- 3.1%,260,284,+ 9.2%,154750,196500,+ 27.0%,86,92,+ 7.2%,93.4,93.5,+ 0.1%,93,66,- 29.0%,4.2,2.9,- 29.8%
